00|NOP
ED7E|IM 2
ED7F|NOP
EDA0|LDI
EDA1|CPI
EDA2|INI
EDA3|OUTI
EDA8|LDD
EDA9|CPD
EDAA|IND
EDAB|OUTD
EDB0|LDIR
EDB1|CPIR
EDB2|INIR
EDB3|OTIR
EDB4|NOP
EDB5|NOP
EDB6|NOP
EDB7|NOP
EDB8|LDDR
EDB9|CPDR
EDBA|INDR
EDBB|OTDR
EDBC|NOP
EDBD|NOP
EDBE|NOP
EDBF|NOP
EDC0|NOP
EDC1|NOP
EDC2|NOP
EDC3|NOP
EDC4|NOP
EDC5|NOP
EDC6|NOP
EDC7|NOP
EDC8|NOP
EDC9|NOP
EDCA|NOP
EDCB|NOP
EDCC|NOP
EDCD|NOP
EDCE|NOP
EDCF|NOP
EDD0|NOP
EDD1|NOP
EDD2|NOP
EDD3|NOP
EDD4|NOP
EDD5|NOP
EDD6|NOP
EDD7|NOP
EDD8|NOP
EDD9|NOP
EDDA|NOP
EDDB|NOP
EDDC|NOP
EDDD|NOP
EDDE|NOP
EDDF|NOP
EDE0|NOP
EDE1|NOP
EDE2|NOP
EDE3|NOP
EDE4|NOP
EDE5|NOP
EDE6|NOP
EDE7|NOP
EDE8|NOP
EDE9|NOP
EDEA|NOP
EDEB|NOP
EDEC|NOP
EDED|NOP
EDEE|NOP
EDEF|NOP
EDF0|NOP
EDF1|NOP
EDF2|NOP
EDF3|NOP
EDF4|NOP
EDF5|NOP
EDF6|NOP
EDF7|NOP
EDF8|NOP
EDF9|NOP
EDFA|NOP
EDFB|NOP
EDFC|NOP
EDFD|NOP
EDFE|NOP
EDFF|NOP
EE|XOR n
EF|RST 28
F0|RET P
F1|POP AF
F2|JP P, nn
F3|DI
F4|CALL P, nn
F5|PUSH AF
F6|OR n
F7|RST 30
F8|RET M
F9|LD SP, HL
FA|JP M, nn
FB|EI
FC|CALL M, nn
FD00|NOP
FD01|LD BC, nn
FD02|LD (BC), A
FD03|INC BC
FD04|INC B
FD05|DEC B
FD06|LD B, n
FD07|RLCA
FD08|EX AF, AF'
FD09|ADD IY, BC
FD0A|LD A, (BC)
FD0B|DEC BC
FD0C|INC C
FD0D|DEC C
FD0E|LD C, n
FD0F|RRCA
FD10|DJNZ d
FD11|LD DE, nn
FD12|LD (DE), A
FD13|INC DE
FD14|INC D
FD15|DEC D
FD16|LD D, n
FD17|RLA
FD18|JR d
FD19|ADD IY, DE
FD1A|LD A, (DE)
FD1B|DEC DE
FD1C|INC E
FD1D|DEC E
FD1E|LD E, n
FD1F|RRA
FD20|JR NZ, d
FD21|LD IY, nn
FD22|LD (nn), IY
FD23|INC IY
FD24|INC IYH
FD25|DEC IYH
FD26|LD IYH, n
FD27|DAA
FD28|JR Z, d
FD29|ADD IY, IY
FD2A|LD IY, (nn)
FD2B|DEC IY
FD2C|INC IYL
FD2D|DEC IYL
FD2E|LD IYL, n
FD2F|CPL
FD30|JR NC, d
FD31|LD SP, nn
FD32|LD (nn), A
FD33|INC SP
FD34|INC (IY + n)
FD35|DEC (IY + n)
FD36P1|LD (IY + n), n
FD37|SCF
FD38|JR C, d
FD39|ADD IY, SP
FD3A|LD A, (nn)
FD3B|DEC SP
FD3C|INC A
FD3D|DEC A
FD3E|LD A, n
FD3F|CCF
FD40|LD B, B
FD41|LD B, C
FD42|LD B, D
FD43|LD B, E
FD44|LD B, IYH
FD45|LD B, IYL
FD46|LD B, (IY + n)
FD47|LD B, A
FD48|LD C, B
FD49|LD C, C
FD4A|LD C, D
FD4B|LD C, E
FD4C|LD C, IYH
FD4D|LD C, IYL
FD4E|LD C, (IY + n)
FD4F|LD C, A
FD50|LD D, B
FD51|LD D, C
FD52|LD D, D
FD53|LD D, E
FD54|LD D, IYH
FD55|LD D, IYL
FD56|LD D, (IY + n)
FD57|LD D, A
FD58|LD E, B
FD59|LD E, C
FD5A|LD E, D
FD5B|LD E, E
FD5C|LD E, IYH
FD5D|LD E, IYL
FD5E|LD E, (IY + n)
FD5F|LD E, A
FD60|LD IYH, B
FD61|LD IYH, C
FD62|LD IYH, D
FD63|LD IYH, E
FD64|LD IYH, IYH
FD65|LD IYH, IYL
FD66|LD H, (IY + n)
FD67|LD IYH, A
FD68|LD IYL, B
FD69|LD IYL, C
FD6A|LD IYL, D
FD6B|LD IYL, E
FD6C|LD IYL, IYH
FD6D|LD IYL, IYL
FD6E|LD L, (IY + n)
FD6F|LD IYL, A
FD70|LD (IY + n), B
FD71|LD (IY + n), C
FD72|LD (IY + n), D
FD73|LD (IY + n), E
FD74|LD (IY + n), H
FD75|LD (IY + n), L
FD76|HALT
FD77|LD (IY + n), A
FD78|LD A, B
FD79|LD A, C
FD7A|LD A, D
FD7B|LD A, E
FD7C|LD A, IYH
FD7D|LD A, IYL
FD7E|LD A, (IY + n)
FD7F|LD A, A
FD80|ADD A, B
FD81|ADD A, C
FD82|ADD A, D
FD83|ADD A, E
FD84|ADD A, IYH
FD85|ADD A, IYL
FD86|ADD A, (IY + n)
FD87|ADD A, A
FD88|ADC A, B
FD89|ADC A, C
FD8A|ADC A, D
FD8B|ADC A, E
FD8C|ADC A, IYH
FD8D|ADC A, IYL
FD8E|ADC A, (IY + n)
FD8F|ADC A, A
FD90|SUB B
FD91|SUB C
FD92|SUB D
FD93|SUB E
FD94|SUB IYH
FD95|SUB IYL
FD96|SUB (IY + n)
FD97|SUB A
FD98|SBC A, B
FD99|SBC A, C
FD9A|SBC A, D
FD9B|SBC A, E
FD9C|SBC A, IYH
FD9D|SBC A, IYL
FD9E|SBC A, (IY + n)
FD9F|SBC A, A
FDA0|AND B
FDA1|AND C
FDA2|AND D
FDA3|AND E
FDA4|AND IYH
FDA5|AND IYL
FDA6|AND (IY + n)
FDA7|AND A
FDA8|XOR B
FDA9|XOR C
FDAA|XOR D
FDAB|XOR E
FDAC|XOR IYH
FDAD|XOR IYL
FDAE|XOR (IY + n)
FDAF|XOR A
FDB0|OR B
FDB1|OR C
FDB2|OR D
FDB3|OR E
FDB4|OR IYH
FDB5|OR IYL
FDB6|OR (IY + n)
FDB7|OR A
FDB8|CP B
FDB9|CP C
FDBA|CP D
FDBB|CP E
FDBC|CP IYH
FDBD|CP IYL
FDBE|CP (IY + n)
FDBF|CP A
FDC0|RET NZ
FDC1|POP BC
FDC2|JP NZ, nn
FDC3|JP nn
FDC4|CALL NZ, nn
FDC5|PUSH BC
FDC6|ADD A, n
FDC7|RST 00
FDC8|RET Z
FDC9|RET
FDCA|JP Z, nn
FDCB00|RLC (IY + n), B
FDCB01|RLC (IY + n), C
FDCB02|RLC (IY + n), D
FDCB03|RLC (IY + n), E
FDCB04|RLC (IY + n), H
FDCB05|RLC (IY + n), L
FDCB06|RLC (IY + n)
FDCB07|RLC (IY + n), A
FDCB08|RRC (IY + n), B
FDCB09|RRC (IY + n), C
FDCB0A|RRC (IY + n), D
FDCB0B|RRC (IY + n), E
FDCB0C|RRC (IY + n), H
FDCB0D|RRC (IY + n), L
FDCB0E|RRC (IY + n)
FDCB0F|RRC (IY + n), A
FDCB10|RL (IY + n), B
FDCB11|RL (IY + n), C
FDCB12|RL (IY + n), D
FDCB13|RL (IY + n), E
FDCB14|RL (IY + n), H
FDCB15|RL (IY + n), L
FDCB16|RL (IY + n)
FDCB17|RL (IY + n), A
FDCB18|RR (IY + n), B
FDCB19|RR (IY + n), C
FDCB1A|RR (IY + n), D
FDCB1B|RR (IY + n), E
FDCB1C|RR (IY + n), H
FDCB1D|RR (IY + n), L
FDCB1E|RR (IY + n)
FDCB1F|RR (IY + n), A
FDCB20|SLA (IY + n), B
FDCB21|SLA (IY + n), C
FDCB22|SLA (IY + n), D
FDCB23|SLA (IY + n), E
FDCB24|SLA (IY + n), H
FDCB25|SLA (IY + n), L
FDCB26|SLA (IY + n)
FDCB27|SLA (IY + n), A
FDCB28|SRA (IY + n), B
FDCB29|SRA (IY + n), C
FDCB2A|SRA (IY + n), D
FDCB2B|SRA (IY + n), E
FDCB2C|SRA (IY + n), H
FDCB2D|SRA (IY + n), L
FDCB2E|SRA (IY + n)
FDCB2F|SRA (IY + n), A
FDCB30|SLL (IY + n), B
FDCB31|SLL (IY + n), C
FDCB32|SLL (IY + n), D
FDCB33|SLL (IY + n), E
FDCB34|SLL (IY + n), H
FDCB35|SLL (IY + n), L
FDCB36|SLL (IY + n)
FDCB37|SLL (IY + n), A
FDCB38|SRL (IY + n), B
FDCB39|SRL (IY + n), C
FDCB3A|SRL (IY + n), D
FDCB3B|SRL (IY + n), E
FDCB3C|SRL (IY + n), H
FDCB3D|SRL (IY + n), L
FDCB3E|SRL (IY + n)
FDCB3F|SRL (IY + n), A
FDCB40|BIT 0, (IY + n)
FDCB41|BIT 0, (IY + n)
FDCB42|BIT 0, (IY + n)
FDCB43|BIT 0, (IY + n)
FDCB44|BIT 0, (IY + n)
FDCB45|BIT 0, (IY + n)
FDCB46|BIT 0, (IY + n)
FDCB47|BIT 0, (IY + n)
FDCB48|BIT 1, (IY + n)
FDCB49|BIT 1, (IY + n)
FDCB4A|BIT 1, (IY + n)
FDCB4B|BIT 1, (IY + n)
FDCB4C|BIT 1, (IY + n)
FDCB4D|BIT 1, (IY + n)
FDCB4E|BIT 1, (IY + n)
FDCB4F|BIT 1, (IY + n)
FDCB50|BIT 2, (IY + n)
FDCB51|BIT 2, (IY + n)
FDCB52|BIT 2, (IY + n)
FDCB53|BIT 2, (IY + n)
FDCB54|BIT 2, (IY + n)
FDCB55|BIT 2, (IY + n)
FDCB56|BIT 2, (IY + n)
FDCB57|BIT 2, (IY + n)
FDCB58|BIT 3, (IY + n)
FDCB59|BIT 3, (IY + n)
FDCB5A|BIT 3, (IY + n)
FDCB5B|BIT 3, (IY + n)
FDCB5C|BIT 3, (IY + n)
FDCB5D|BIT 3, (IY + n)
FDCB5E|BIT 3, (IY + n)
FDCB5F|BIT 3, (IY + n)
FDCB60|BIT 4, (IY + n)
FDCB61|BIT 4, (IY + n)
FDCB62|BIT 4, (IY + n)
FDCB63|BIT 4, (IY + n)
FDCB64|BIT 4, (IY + n)
FDCB65|BIT 4, (IY + n)
FDCB66|BIT 4, (IY + n)
FDCB67|BIT 4, (IY + n)
FDCB68|BIT 5, (IY + n)
FDCB69|BIT 5, (IY + n)
FDCB6A|BIT 5, (IY + n)
FDCB6B|BIT 5, (IY + n)
FDCB6C|BIT 5, (IY + n)
FDCB6D|BIT 5, (IY + n)
FDCB6E|BIT 5, (IY + n)
FDCB6F|BIT 5, (IY + n)
FDCB70|BIT 6, (IY + n)
FDCB71|BIT 6, (IY + n)
FDCB72|BIT 6, (IY + n)
FDCB73|BIT 6, (IY + n)
FDCB74|BIT 6, (IY + n)
FDCB75|BIT 6, (IY + n)
FDCB76|BIT 6, (IY + n)
FDCB77|BIT 6, (IY + n)
FDCB78|BIT 7, (IY + n)
FDCB79|BIT 7, (IY + n)
FDCB7A|BIT 7, (IY + n)
FDCB7B|BIT 7, (IY + n)
FDCB7C|BIT 7, (IY + n)
FDCB7D|BIT 7, (IY + n)
FDCB7E|BIT 7, (IY + n)
FDCB7F|BIT 7, (IY + n)
FDCB80|RES 0, (IY + n), B
FDCB81|RES 0, (IY + n), C
FDCB82|RES 0, (IY + n), D
FDCB83|RES 0, (IY + n), E
FDCB84|RES 0, (IY + n), H
FDCB85|RES 0, (IY + n), L
FDCB86|RES 0, (IY + n)
FDCB87|RES 0, (IY + n), A
FDCB88|RES 1, (IY + n), B
FDCB89|RES 1, (IY + n), C
FDCB8A|RES 1, (IY + n), D
FDCB8B|RES 1, (IY + n), E
FDCB8C|RES 1, (IY + n), H
FDCB8D|RES 1, (IY + n), L
FDCB8E|RES 1, (IY + n)
FDCB8F|RES 1, (IY + n), A
FDCB90|RES 2, (IY + n), B
FDCB91|RES 2, (IY + n), C
FDCB92|RES 2, (IY + n), D
FDCB93|RES 2, (IY + n), E
FDCB94|RES 2, (IY + n), H
FDCB95|RES 2, (IY + n), L
FDCB96|RES 2, (IY + n)
FDCB97|RES 2, (IY + n), A
FDCB98|RES 3, (IY + n), B
FDCB99|RES 3, (IY + n), C
FDCB9A|RES 3, (IY + n), D
FDCB9B|RES 3, (IY + n), E
FDCB9C|RES 3, (IY + n), H
FDCB9D|RES 3, (IY + n), L
FDCB9E|RES 3, (IY + n)
FDCB9F|RES 3, (IY + n), A
FDCBA0|RES 4, (IY + n), B
FDCBA1|RES 4, (IY + n), C
FDCBA2|RES 4, (IY + n), D
FDCBA3|RES 4, (IY + n), E
FDCBA4|RES 4, (IY + n), H
FDCBA5|RES 4, (IY + n), L
FDCBA6|RES 4, (IY + n)
FDCBA7|RES 4, (IY + n), A
FDCBA8|RES 5, (IY + n), B
FDCBA9|RES 5, (IY + n), C
FDCBAA|RES 5, (IY + n), D
FDCBAB|RES 5, (IY + n), E
FDCBAC|RES 5, (IY + n), H
FDCBAD|RES 5, (IY + n), L
FDCBAE|RES 5, (IY + n)
FDCBAF|RES 5, (IY + n), A
FDCBB0|RES 6, (IY + n), B
FDCBB1|RES 6, (IY + n), C
FDCBB2|RES 6, (IY + n), D
FDCBB3|RES 6, (IY + n), E
FDCBB4|RES 6, (IY + n), H
FDCBB5|RES 6, (IY + n), L
FDCBB6|RES 6, (IY + n)
FDCBB7|RES 6, (IY + n), A
FDCBB8|RES 7, (IY + n), B
FDCBB9|RES 7, (IY + n), C
FDCBBA|RES 7, (IY + n), D
FDCBBB|RES 7, (IY + n), E
FDCBBC|RES 7, (IY + n), H
FDCBBD|RES 7, (IY + n), L
FDCBBE|RES 7, (IY + n)
FDCBBF|RES 7, (IY + n), A
FDCBC0|SET 0, (IY + n), B
FDCBC1|SET 0, (IY + n), C
FDCBC2|SET 0, (IY + n), D
FDCBC3|SET 0, (IY + n), E
FDCBC4|SET 0, (IY + n), H
FDCBC5|SET 0, (IY + n), L
FDCBC6|SET 0, (IY + n)
FDCBC7|SET 0, (IY + n), A
FDCBC8|SET 1, (IY + n), B
FDCBC9|SET 1, (IY + n), C
FDCBCA|SET 1, (IY + n), D
FDCBCB|SET 1, (IY + n), E
FDCBCC|SET 1, (IY + n), H
FDCBCD|SET 1, (IY + n), L
FDCBCE|SET 1, (IY + n)
FDCBCF|SET 1, (IY + n), A
FDCBD0|SET 2, (IY + n), B
FDCBD1|SET 2, (IY + n), C
FDCBD2|SET 2, (IY + n), D
FDCBD3|SET 2, (IY + n), E
FDCBD4|SET 2, (IY + n), H
FDCBD5|SET 2, (IY + n), L
FDCBD6|SET 2, (IY + n)
FDCBD7|SET 2, (IY + n), A
FDCBD8|SET 3, (IY + n), B
FDCBD9|SET 3, (IY + n), C
FDCBDA|SET 3, (IY + n), D
FDCBDB|SET 3, (IY + n), E
FDCBDC|SET 3, (IY + n), H
FDCBDD|SET 3, (IY + n), L
FDCBDE|SET 3, (IY + n)
FDCBDF|SET 3, (IY + n), A
FDCBE0|SET 4, (IY + n), B
FDCBE1|SET 4, (IY + n), C
FDCBE2|SET 4, (IY + n), D
FDCBE3|SET 4, (IY + n), E
FDCBE4|SET 4, (IY + n), H
FDCBE5|SET 4, (IY + n), L
FDCBE6|SET 4, (IY + n)
FDCBE7|SET 4, (IY + n), A
FDCBE8|SET 5, (IY + n), B
FDCBE9|SET 5, (IY + n), C
FDCBEA|SET 5, (IY + n), D
FDCBEB|SET 5, (IY + n), E
FDCBEC|SET 5, (IY + n), H
FDCBED|SET 5, (IY + n), L
FDCBEE|SET 5, (IY + n)
FDCBEF|SET 5, (IY + n), A
FDCBF0|SET 6, (IY + n), B
FDCBF1|SET 6, (IY + n), C
FDCBF2|SET 6, (IY + n), D
FDCBF3|SET 6, (IY + n), E
FDCBF4|SET 6, (IY + n), H
FDCBF5|SET 6, (IY + n), L
FDCBF6|SET 6, (IY + n)
FDCBF7|SET 6, (IY + n), A
FDCBF8|SET 7, (IY + n), B
FDCBF9|SET 7, (IY + n), C
FDCBFA|SET 7, (IY + n), D
FDCBFB|SET 7, (IY + n), E
FDCBFC|SET 7, (IY + n), H
FDCBFD|SET 7, (IY + n), L
FDCBFE|SET 7, (IY + n)
FDCBFF|SET 7, (IY + n), A
FDCC|CALL Z, nn
FDCD|CALL nn
FDCE|ADC A, n
FDCF|RST 08
FDD0|RET NC
FDD1|POP DE
FDD2|JP NC, nn
FDD3|OUT (n), A
FDD4|CALL NC, nn
FDD5|PUSH DE
FDD6|SUB n
FDD7|RST 10
FDD8|RET C
FDD9|EXX
FDDA|JP C, nn
FDDB|IN A, (n)
FDDC|CALL C, nn
FDDE|SBC A, n
FDDF|RST 18
FDE0|RET PO
FDE1|POP IY
FDE2|JP PO, nn
FDE3|EX (SP), IY
FDE4|CALL PO, nn
FDE5|PUSH IY
FDE6|AND n
FDE7|RST 20
FDE8|RET PE
FDE9|JP (IY)
FDEA|JP PE, nn
FDEB|EX DE, HL
FDEC|CALL PE, nn
FDEE|XOR n
FDEF|RST 28
FDF0|RET P
FDF1|POP AF
FDF2|JP P, nn
FDF3|DI
FDF4|CALL P, nn
FDF5|PUSH AF
FDF6|OR n
FDF7|RST 30
FDF8|RET M
FDF9|LD SP, IY
FDFA|JP M, nn
FDFB|EI
FDFC|CALL M, nn
FDFE|CP n
FDFF|RST 38
FE|CP n
FF|RST 38
